number	hierarchy	ko_number	description
KO-1	KO-a1	09100	Metabolism
KO-1.1	KO-a1.a1	09101	Carbohydrate metabolism
KO-1.1.1	KO-a1.a1.a1	00010	Glycolysis / Gluconeogenesis
KO-1.1.2	KO-a1.a1.a2	00020	Citrate cycle (TCA cycle)
KO-1.1.3	KO-a1.a1.a3	00030	Pentose phosphate pathway
KO-1.1.4	KO-a1.a1.a4	00040	Pentose and glucuronate interconversions
KO-1.1.5	KO-a1.a1.a5	00051	Fructose and mannose metabolism
KO-1.1.6	KO-a1.a1.a6	00052	Galactose metabolism
KO-1.1.7	KO-a1.a1.a7	00053	Ascorbate and aldarate metabolism
KO-1.1.8	KO-a1.a1.a8	00500	Starch and sucrose metabolism
KO-1.1.9	KO-a1.a1.a9	00520	Amino sugar and nucleotide sugar metabolism
KO-1.1.10	KO-a1.a1.b0	00620	Pyruvate metabolism
KO-1.1.11	KO-a1.a1.b1	00630	Glyoxylate and dicarboxylate metabolism
KO-1.1.12	KO-a1.a1.b2	00640	Propanoate metabolism
KO-1.1.13	KO-a1.a1.b3	00650	Butanoate metabolism
KO-1.1.14	KO-a1.a1.b4	00660	C5-Branched dibasic acid metabolism
KO-1.1.15	KO-a1.a1.b5	00562	Inositol phosphate metabolism
KO-1.2	KO-a1.a2	09102	Energy metabolism
KO-1.2.1	KO-a1.a2.a1	00190	Oxidative phosphorylation
KO-1.2.2	KO-a1.a2.a2	00195	Photosynthesis
KO-1.2.3	KO-a1.a2.a3	00196	Photosynthesis - antenna proteins
KO-1.2.4	KO-a1.a2.a4	00710	Carbon fixation in photosynthetic organisms
KO-1.2.5	KO-a1.a2.a5	00720	Carbon fixation pathways in prokaryotes
KO-1.2.6	KO-a1.a2.a6	00680	Methane metabolism
KO-1.2.7	KO-a1.a2.a7	00910	Nitrogen metabolism
KO-1.2.8	KO-a1.a2.a8	00920	Sulfur metabolism
KO-1.3	KO-a1.a3	09103	Lipid metabolism
KO-1.3.1	KO-a1.a3.a1	00061	Fatty acid biosynthesis
KO-1.3.2	KO-a1.a3.a2	00062	Fatty acid elongation
KO-1.3.3	KO-a1.a3.a3	00071	Fatty acid degradation
KO-1.3.4	KO-a1.a3.a4	00073	Cutin, suberine and wax biosynthesis
KO-1.3.5	KO-a1.a3.a5	00100	Steroid biosynthesis
KO-1.3.6	KO-a1.a3.a6	00120	Primary bile acid biosynthesis
KO-1.3.7	KO-a1.a3.a7	00121	Secondary bile acid biosynthesis
KO-1.3.8	KO-a1.a3.a8	00140	Steroid hormone biosynthesis
KO-1.3.9	KO-a1.a3.a9	00561	Glycerolipid metabolism
KO-1.3.10	KO-a1.a3.b0	00564	Glycerophospholipid metabolism
KO-1.3.11	KO-a1.a3.b1	00565	Ether lipid metabolism
KO-1.3.12	KO-a1.a3.b2	00600	Sphingolipid metabolism
KO-1.3.13	KO-a1.a3.b3	00590	Arachidonic acid metabolism
KO-1.3.14	KO-a1.a3.b4	00591	Linoleic acid metabolism
KO-1.3.15	KO-a1.a3.b5	00592	alpha-Linolenic acid metabolism
KO-1.3.16	KO-a1.a3.b6	01040	Biosynthesis of unsaturated fatty acids
KO-1.4	KO-a1.a4	09104	Nucleotide metabolism
KO-1.4.1	KO-a1.a4.a1	00230	Purine metabolism
KO-1.4.2	KO-a1.a4.a2	00240	Pyrimidine metabolism
KO-1.5	KO-a1.a5	09105	Amino acid metabolism
KO-1.5.1	KO-a1.a5.a1	00250	Alanine, aspartate and glutamate metabolism
KO-1.5.2	KO-a1.a5.a2	00260	Glycine, serine and threonine metabolism
KO-1.5.3	KO-a1.a5.a3	00270	Cysteine and methionine metabolism
KO-1.5.4	KO-a1.a5.a4	00280	Valine, leucine and isoleucine degradation
